 Corr.Time[ms]           Correlation(1->2+2->1)  Weighting(1->2+2->1)    Correlation(1->2)       Weighting(1->2)         Correlation(2->1)       Weighting(2->1)
 1.94480001926422E+0000  5.05409668138797E-0001  2.92557388028631E+0002  5.05409668138797E-0001  2.92557388028631E+0002  5.05409668138797E-0001  2.92557388028631E+0002
 2.14960002899170E+0000  4.77782920717346E-0001  2.55090865060843E+0002  4.77782920717346E-0001  2.55090865060843E+0002  4.77782920717346E-0001  2.55090865060843E+0002
 2.35439991950989E+0000  4.53112004029835E-0001  2.71293640622790E+0002  4.53112004029835E-0001  2.71293640622790E+0002  4.53112004029835E-0001  2.71293640622790E+0002
 2.55920004844666E+0000  4.29755930705802E-0001  2.79008850266846E+0002  4.29755930705802E-0001  2.79008850266846E+0002  4.29755930705802E-0001  2.79008850266846E+0002
 2.76399993896484E+0000  4.09457800981922E-0001  2.86545196908761E+0002  4.09457800981922E-0001  2.86545196908761E+0002  4.09457800981922E-0001  2.86545196908761E+0002
 2.96880006790161E+0000  3.90744767762380E-0001  2.74240254379125E+0002  3.90744767762380E-0001  2.74240254379125E+0002  3.90744767762380E-0001  2.74240254379125E+0002
 3.17359995841980E+0000  3.73409664272008E-0001  2.71716837113470E+0002  3.73409664272008E-0001  2.71716837113470E+0002  3.73409664272008E-0001  2.71716837113470E+0002
 3.48079991340637E+0000  3.50224051021903E-0001  2.82120887395437E+0002  3.50224051021903E-0001  2.82120887395437E+0002  3.50224051021903E-0001  2.82120887395437E+0002
 3.89039993286133E+0000  3.22694699402335E-0001  2.70762758827130E+0002  3.22694699402335E-0001  2.70762758827130E+0002  3.22694699402335E-0001  2.70762758827130E+0002
 4.30000019073486E+0000  2.98513013966598E-0001  2.98363528539472E+0002  2.98513013966598E-0001  2.98363528539472E+0002  2.98513013966598E-0001  2.98363528539472E+0002
 4.70959997177124E+0000  2.77314238035317E-0001  3.51923488816809E+0002  2.77314238035317E-0001  3.51923488816809E+0002  2.77314238035317E-0001  3.51923488816809E+0002
 5.11920022964478E+0000  2.59136865577395E-0001  3.43148769618425E+0002  2.59136865577395E-0001  3.43148769618425E+0002  2.59136865577395E-0001  3.43148769618425E+0002
 5.52880001068115E+0000  2.43637142645853E-0001  3.70835329865248E+0002  2.43637142645853E-0001  3.70835329865248E+0002  2.43637142645853E-0001  3.70835329865248E+0002
 5.93839979171753E+0000  2.30273953226418E-0001  3.22143751736171E+0002  2.30273953226418E-0001  3.22143751736171E+0002  2.30273953226418E-0001  3.22143751736171E+0002
 6.34800004959106E+0000  2.18148754530515E-0001  3.44545230648639E+0002  2.18148754530515E-0001  3.44545230648639E+0002  2.18148754530515E-0001  3.44545230648639E+0002
 6.96239995956421E+0000  2.02964170244458E-0001  3.19103795455937E+0002  2.02964170244458E-0001  3.19103795455937E+0002  2.02964170244458E-0001  3.19103795455937E+0002
 7.78159999847412E+0000  1.85541407553322E-0001  2.92038552991548E+0002  1.85541407553322E-0001  2.92038552991548E+0002  1.85541407553322E-0001  2.92038552991548E+0002
 8.60079956054687E+0000  1.69531447674002E-0001  2.83768065399736E+0002  1.69531447674002E-0001  2.83768065399736E+0002  1.69531447674002E-0001  2.83768065399736E+0002
 9.42000007629395E+0000  1.53689175273435E-0001  2.84699304597087E+0002  1.53689175273435E-0001  2.84699304597087E+0002  1.53689175273435E-0001  2.84699304597087E+0002
 1.02391996383667E+0001  1.42365791084616E-0001  2.45180331491622E+0002  1.42365791084616E-0001  2.45180331491622E+0002  1.42365791084616E-0001  2.45180331491622E+0002
 1.10584001541137E+0001  1.31918940916269E-0001  2.43421665837706E+0002  1.31918940916269E-0001  2.43421665837706E+0002  1.31918940916269E-0001  2.43421665837706E+0002
 1.18775997161865E+0001  1.23223473340053E-0001  2.32208402505293E+0002  1.23223473340053E-0001  2.32208402505293E+0002  1.23223473340053E-0001  2.32208402505293E+0002
 1.26968002319335E+0001  1.14830603770167E-0001  2.27151989965223E+0002  1.14830603770167E-0001  2.27151989965223E+0002  1.14830603770167E-0001  2.27151989965223E+0002
 1.39256000518798E+0001  1.03335633060964E-0001  2.36587886787780E+0002  1.03335633060964E-0001  2.36587886787780E+0002  1.03335633060964E-0001  2.36587886787780E+0002
 1.55640001296997E+0001  9.15160219868358E-0002  2.64981715010466E+0002  9.15160219868358E-0002  2.64981715010466E+0002  9.15160219868358E-0002  2.64981715010466E+0002
 1.72024002075195E+0001  8.27375957606942E-0002  2.46858907523691E+0002  8.27375957606942E-0002  2.46858907523691E+0002  8.27375957606942E-0002  2.46858907523691E+0002
 1.88407993316650E+0001  7.93987207505116E-0002  2.51844971598512E+0002  7.93987207505116E-0002  2.51844971598512E+0002  7.93987207505116E-0002  2.51844971598512E+0002
